completed	failure	Fix typo in `error_overdepending` field	Tests	fix_error_overdepending_typo	pull_request	4684466533	1h13m25s	15h
completed	cancelled	Deprecate `ns_cfg()` in `metadata.py`	Tests	deprecate_ns_cfg	pull_request	4578693304	2m11s	13d
completed	failure	Merge pull request #4836 from kenodegard/black-isort	Tests	main	push	4578010542	2h6m31s	13d
completed	success	Update Python auto formatting tooling	Tests	black-isort	pull_request	4568933307	1h46m55s	13d
completed	success	Deprecate `ns_cfg()` in `metadata.py`	Tests	deprecate_ns_cfg	pull_request	4568228611	1h31m48s	13d
completed	failure	Update Python auto formatting tooling	Tests	black-isort	pull_request	4567232466	2h31m38s	14d
completed	success	Update Python auto formatting tooling	Tests	black-isort	pull_request	4566973631	22s	14d
completed	success	Drop extra Jinja w/package names from variants.rst	Tests	drop_xtra_jinja	pull_request	4558071864	29s	15d
completed	success	🔄 synced file(s) with conda/infrastructure	Tests	repo-sync/infrastructure/default	pull_request	4555426554	1h13m6s	15d
completed	success	🔄 synced file(s) with conda/infrastructure	Tests	repo-sync/infrastructure/default	pull_request	4544465204	27s	16d
completed	failure	Drop `conda < 4.3.2` check (#4831)	Tests	main	push	4543014593	1h34m38s	16d
completed	failure	Always use the subdir defined in the package	Tests	fix-downstream-test-subdir	pull_request	4539033530	45m7s	16d
completed	success	Drop `conda < 4.3.2` check	Tests	drop-conda-4.3.2-check	pull_request	4537852063	1h54m24s	16d
completed	failure	Delegate `get_build_index` to external conda-index package	Tests	conda-index-2	pull_request	4536060892	1h15m30s	17d
completed	success	Use conda-index dependency instead of obsolete built-in index	Tests	conda-index	pull_request	4534696118	2h22m51s	17d
completed	success	[pre-commit.ci] pre-commit autoupdate	Tests	pre-commit-ci-update-config	pull_request	4534470492	23s	17d
completed	success	minor skeleton cleanups	Tests	skeleton-cleanups	pull_request	4533668905	1h41m23s	9d
completed	failure	Use conda-index dependency instead of obsolete built-in index	Tests	conda-index	pull_request	4533298009	1h40m39s	17d
completed	cancelled	Use conda-index dependency instead of obsolete built-in index	Tests	conda-index	pull_request	4533227214	7m48s	17d
completed	cancelled	Use conda-index dependency instead of obsolete built-in index	Tests	conda-index	pull_request	4533177442	5m6s	17d
completed	action_required	include filename in hash, fixes #4814	Tests	tkp/4814	pull_request	4519593323	0s	19d
completed	failure	Delegate `get_build_index` to external conda-index package	Tests	conda-index-2	pull_request	4515509037	3h43m37s	20d
completed	success	`create_test.py`: Add type hints and refactor to use pathlib	Tests	create_test-typing	pull_request	4515362952	1h19m38s	17d
completed	success	🔄 synced file(s) with conda/infrastructure	Tests	repo-sync/infrastructure/default	pull_request	4514611488	26s	20d
completed	failure	skip troubled skeleton tests; grayskull is available (#4825)	Tests	main	push	4514553230	4h40m7s	20d
completed	success	Patch environment variable to str instead of Path (#4823)	Tests	main	push	4514003595	6h40m1s	20d
completed	failure	`create_test.py`: Add type hints and refactor to use pathlib	Tests	create_test-typing	pull_request	4513494674	3h43m44s	20d
completed	failure	don't try to run lief on static libraries	Tests	lief	pull_request	4513134963	4h20m23s	20d
completed	success	skip troubled skeleton tests; grayskull is available	Tests	local-cran	pull_request	4512970525	3h18m46s	20d
completed	cancelled	skip troubled skeleton tests; grayskull is available	Tests	local-cran	pull_request	4512960441	1m59s	20d
completed	cancelled	skip troubled skeleton tests; grayskull is available	Tests	local-cran	pull_request	4512954365	1m23s	20d
completed	success	Patch environment variable to str instead of Path	Tests	setenv-str	pull_request	4511799041	46m33s	20d
completed	action_required	include filename in hash, fixes #4814	Tests	tkp/4814	pull_request	4511788680	0s	20d
completed	failure	Delegate `get_build_index` to external conda-index package	Tests	conda-index-2	pull_request	4507066320	1h18m17s	20d
completed	cancelled	Delegate `get_build_index` to external conda-index package	Tests	conda-index-2	pull_request	4507059967	1m53s	20d
completed	action_required	include filename in hash, fixes #4814	Tests	tkp/4814	pull_request	4504794433	0s	21d
completed	failure	Delegate `get_build_index` to external conda-index package	Tests	conda-index-2	pull_request	4504479238	2h7m3s	21d
completed	cancelled	Delegate `get_build_index` to external conda-index package	Tests	conda-index-2	pull_request	4504452172	4m56s	21d
completed	cancelled	Delegate `get_build_index` to external conda-index package	Tests	conda-index-2	pull_request	4504439090	2m17s	21d
completed	cancelled	Delegate `get_build_index` to external conda-index package	Tests	conda-index-2	pull_request	4504170419	34m42s	21d
completed	failure	Stop using pending deprecation `get_prefix` (#4818)	Tests	main	push	4503080529	1h39m28s	21d
completed	failure	Don't run lief on UNIX static libraries	Tests	skip-lief-static-libs	pull_request	4491441086	1h33m34s	22d
completed	success	Release 3.24.0 (#4801)	Tests	main	push	4490723215	30s	22d
completed	failure	Some minor code cleanup (#4791)	Tests	main	push	4487695850	1h35m59s	22d
completed	success	Release 3.24.0	Tests	release-3.24.0	pull_request	4487206169	37s	22d
completed	success	Release 3.24.0	Tests	release-3.24.0	pull_request	4487193194	24s	22d
completed	success	Release 3.24.0	Tests	release-3.24.0	pull_request	4487187289	24s	22d
completed	failure	Adding future python 3.11 support	Tests	main	pull_request	4484833047	5h53m57s	22d
completed	failure	Update supported Python version in setup.py (#4804)	Tests	main	push	4484807905	4h36m59s	22d
completed	success	Stop using pending deprecation `get_prefix`	Tests	stop-using-deprecated-get_prefix	pull_request	4484315294	1h29m30s	21d
completed	failure	Require the source when rendering if load_file_data is used	Tests	load_toml_from_source	pull_request	4483303239	2h5m1s	23d
completed	cancelled	Require the source when rendering if load_file_data is used	Tests	load_toml_from_source	pull_request	4483286457	2m36s	23d
completed	failure	Support SHA224, SHA384 and SHA512 source hashes.	Tests	main	pull_request	4482393614	2h33m54s	23d
completed	failure	Add support for defining `_CONDA_BUILD_ISOLATED_ACTIVATION` in `meta.yaml`	Tests	support-isolated-envvar-in-meta	pull_request	4481986885	2h20m10s	23d
completed	failure	Test CI tests	Tests	test-ci	pull_request	4481116921	3h15m44s	23d
completed	failure	Delegate `get_build_index` to external conda-index package	Tests	conda-index-2	pull_request	4480925898	2h16m55s	23d
completed	failure	don't try to run lief on static libraries	Tests	lief	pull_request	4473606194	2h24m2s	21d
completed	success	Update supported Python version in setup.py	Tests	patch-1	pull_request	4472072598	41m38s	22d
completed	success	Some minor code cleanup	Tests	cleanup_code	pull_request	4472068112	1h28m1s	22d
completed	failure	Add tests for #4763 (#4803)	Tests	main	push	4472062935	3h42m18s	22d
completed	failure	add emscripten-32 support	Tests	emscripten-32	pull_request	4467708665	18m11s	24d
completed	action_required	Made changes as suggested by Issue #12055	Tests	main	pull_request	4441132779	0s	28d
completed	failure	don't try to run lief on static libraries	Tests	lief	pull_request	4433873308	1h36m57s	24d
completed	failure	Update supported Python version in setup.py	Tests	patch-1	pull_request	4416963247	5h27m24s	Mar 14, 2023
completed	success	Add tests for #4763	Tests	find_pkg_dir_or_file_in_pkgs_dirs-test	pull_request	4416806662	49m0s	29d
completed	success	[pre-commit.ci] pre-commit autoupdate (#4802)	Tests	main	push	4416401271	31s	Mar 14, 2023
completed	failure	Add tests for #4763	Tests	find_pkg_dir_or_file_in_pkgs_dirs-test	pull_request	4409887792	2h56m48s	Mar 13, 2023
completed	cancelled	Add tests for #4763	Tests	find_pkg_dir_or_file_in_pkgs_dirs-test	pull_request	4409851985	13m28s	Mar 13, 2023
completed	success	[pre-commit.ci] pre-commit autoupdate	Tests	pre-commit-ci-update-config	pull_request	4407432901	26s	Mar 13, 2023
completed	success	Release 3.24.0	Tests	release-3.24.0	pull_request	4407241622	26s	Mar 13, 2023
completed	success	🔄 synced file(s) with conda/infrastructure (#4800)	Tests	main	push	4407207588	25s	Mar 13, 2023
completed	success	🔄 synced file(s) with conda/infrastructure	Tests	repo-sync/infrastructure/default	pull_request	4407177784	31s	Mar 13, 2023
completed	failure	Some minor code cleanup	Tests	cleanup_code	pull_request	4406950462	1h57m20s	Mar 13, 2023
completed	failure	Drop dependency on Setuptools (#4443)	Tests	main	push	4404288630	1h51m14s	Mar 13, 2023
completed	failure	Support SHA224, SHA384 and SHA512 source hashes.	Tests	main	pull_request	4387878465	3h10m36s	Mar 10, 2023
completed	failure	Some minor code cleanup	Tests	cleanup_code	pull_request	4387871823	1h31m34s	Mar 11, 2023
completed	success	Drop dependency on Setuptools	Tests	use_packaging	pull_request	4386529874	1h32m42s	Mar 10, 2023
completed	failure	Drop Python 3.7 support. (#4797)	Tests	main	push	4386379511	2h51m16s	Mar 10, 2023
completed	failure	Delegate `get_build_index` to external conda-index package	Tests	conda-index-2	pull_request	4386094293	1h19m45s	23d
completed	cancelled	Delegate `get_build_index` to external conda-index package	Tests	conda-index-2	pull_request	4385981890	14m33s	Mar 10, 2023
completed	cancelled	Delegate `get_build_index` to external conda-index package	Tests	conda-index-2	pull_request	4385317082	1h19m16s	Mar 10, 2023
completed	cancelled	Delegate `get_build_index` to external conda-index package	Tests	conda-index-2	pull_request	4385232647	10m18s	Mar 10, 2023
completed	success	Drop Python 3.7 support.	Tests	drop-python37	pull_request	4382764955	1h34m18s	Mar 10, 2023
completed	failure	Delegate `get_build_index` to external conda-index package	Tests	conda-index-2	pull_request	4378633572	2h13m56s	Mar  9, 2023
completed	failure	Delegate `get_build_index` to external conda-index package	Tests	conda-index-2	pull_request	4376748275	2h13m50s	Mar  9, 2023
completed	failure	Delegate `get_build_index` to external conda-index package	Tests	conda-index-2	pull_request	4375942125	44m54s	Mar  9, 2023
completed	failure	Drop Python 3.7 support.	Tests	drop-python37	pull_request	4375414154	1h57m23s	Mar  9, 2023
completed	cancelled	Drop Python 3.7 support.	Tests	drop-python37	pull_request	4374887324	1h5m5s	Mar  9, 2023
completed	cancelled	Drop Python 3.7 support.	Tests	drop-python37	pull_request	4374692672	24m17s	Mar  9, 2023
completed	cancelled	Drop Python 3.7 support.	Tests	drop-python37	pull_request	4374665733	4m8s	Mar  9, 2023
completed	failure	Drop dependency on Setuptools	Tests	use_packaging	pull_request	4367082055	2h47m54s	Mar  8, 2023
completed	failure	Drop dependency on Setuptools	Tests	use_packaging	pull_request	4365223594	1h40m50s	Mar  8, 2023
completed	failure	Drop dependency on Setuptools	Tests	use_packaging	pull_request	4359142760	3h12m26s	Mar  7, 2023
completed	success	Document build.force_use_keys and build.force_ignore_keys (#4776)	Tests	main	push	4359139146	26s	Mar  7, 2023
completed	success	🔄 synced file(s) with conda/infrastructure (#4789)	Tests	main	push	4359131329	26s	Mar  7, 2023
completed	failure	Add C compiler dep when `.xs` files are found. (#4599)	Tests	main	push	4358836462	3h11m43s	Mar  7, 2023
completed	failure	Remove false-positives in the list of Perl core modules (#4592)	Tests	main	push	4358779484	1h53m54s	Mar  7, 2023
completed	success	[pre-commit.ci] pre-commit autoupdate (#4794)	Tests	main	push	4346265314	30s	Mar  6, 2023
completed	success	[pre-commit.ci] pre-commit autoupdate	Tests	pre-commit-ci-update-config	pull_request	4345849949	5m50s	Mar  6, 2023
completed	failure	Support SHA224, SHA384 and SHA512 source hashes.	Tests	main	pull_request	4336509594	1h33m9s	Mar  5, 2023
completed	cancelled	Support SHA224, SHA384 and SHA512 source hashes.	Tests	main	pull_request	4336502493	2m23s	Mar  5, 2023
completed	cancelled	Support SHA224, SHA384 and SHA512 source hashes.	Tests	main	pull_request	4336450948	13m0s	Mar  5, 2023
completed	success	🔄 synced file(s) with conda/infrastructure	Tests	repo-sync/infrastructure/default	pull_request	4327412094	27s	Mar  3, 2023
completed	success	Remove unnecessary reassignments and unused vars (#4790)	Tests	main	push	4327385618	1h51m16s	Mar  3, 2023
completed	success	Some minor code cleanup	Tests	cleanup_code	pull_request	4326909707	1h23m28s	Mar  7, 2023
completed	cancelled	Some minor code cleanup	Tests	cleanup_code	pull_request	4326812908	30m3s	Mar  3, 2023
completed	success	Remove unnecessary reassignments and unused vars	Tests	code_cleanup	pull_request	4325353768	1h17m12s	Mar  3, 2023
completed	cancelled	Remove unnecessary reassignments and unused vars	Tests	code_cleanup	pull_request	4325352338	14s	Mar  3, 2023
completed	cancelled	Remove unnecessary reassignments and unused vars	Tests	code_cleanup	pull_request	4325351791	24s	Mar  3, 2023
completed	success	🔄 synced file(s) with conda/infrastructure	Tests	repo-sync/infrastructure/default	pull_request	4321177243	29s	Mar  3, 2023
completed	failure	Remove unnecessary reassignments and unused vars	Tests	code_cleanup	pull_request	4318019575	36m6s	Mar  2, 2023
completed	cancelled	Remove unnecessary reassignments and unused vars	Tests	code_cleanup	pull_request	4317934409	12m34s	Mar  2, 2023
completed	success	🔄 synced file(s) with conda/infrastructure	Tests	repo-sync/infrastructure/default	pull_request	4316731627	7m20s	Mar  2, 2023
completed	success	🔄 synced file(s) with conda/infrastructure	Tests	repo-sync/infrastructure/default	pull_request	4316464263	3m14s	Mar  2, 2023
completed	success	🔄 synced file(s) with conda/infrastructure	Tests	repo-sync/infrastructure/default	pull_request	4316351856	52s	Mar  2, 2023
completed	success	🔄 synced file(s) with conda/infrastructure	Tests	repo-sync/infrastructure/default	pull_request	4316185058	26s	Mar  2, 2023
completed	success	Made changes as suggested by Issue #12055	Tests	main	pull_request	4293885201	32s	Mar  3, 2023
completed	failure	Remove src working directory for CI (#4784)	Tests	main	push	4285103313	1h54m58s	Feb 27, 2023
completed	failure	Re-enable coverage reporting to codecov (#4767)	Tests	main	push	4265195971	1h29m18s	Feb 24, 2023
completed	failure	Add R.dll to missing_dso_whitelist on windows	Tests	patch-15	pull_request	4264354758	1h58m24s	Feb 24, 2023
completed	cancelled	Add R.dll to missing_dso_whitelist on windows	Tests	patch-15	pull_request	4264344187	2m17s	Feb 24, 2023
completed	failure	Replace bundled conda-index with standalone conda-index package	Tests	conda-index	pull_request	4262945541	1h29m57s	Feb 24, 2023
completed	success	Re-enable coverage reporting to codecov	Tests	codecov	pull_request	4261212955	37m0s	Feb 24, 2023
completed	success	🔄 Synced file(s) with conda/infrastructure (#4785)	Tests	main	push	4258892236	35s	Feb 24, 2023
completed	success	🔄 Synced file(s) with conda/infrastructure	Tests	repo-sync/infrastructure/default	pull_request	4258888617	41s	Feb 24, 2023
completed	success	🔄 Synced file(s) with conda/infrastructure	Tests	repo-sync/infrastructure/default	pull_request	4258857968	40s	Feb 24, 2023
completed	failure	Re-enable coverage reporting to codecov	Tests	codecov	pull_request	4258168739	1h52m25s	Feb 24, 2023
completed	success	Update conda-build.rst with missing args (#4662)	Tests	main	push	4258162675	28s	Feb 24, 2023
completed	success	Updated broken example recipe links. (#4580)	Tests	main	push	4258153810	25s	Feb 24, 2023
completed	success	Updated broken example recipe links.	Tests	main	pull_request	4258151191	28s	Feb 24, 2023
completed	success	Updated broken example recipe links.	Tests	main	pull_request	4258123329	24s	Feb 24, 2023
completed	success	Remove `src` working directory for CI	Tests	remove-src-working-dir	pull_request	4257540143	1h36m37s	Feb 24, 2023
completed	success	Convert manual conda_build_test_recipe clone into a fixture (#4781)	Tests	main	push	4257522121	55m17s	Feb 24, 2023
completed	failure	Use tomli or Python 3.11 tomllib (#4783)	Tests	main	push	4257367925	1h36m57s	Feb 23, 2023
completed	failure	Misc. documentation fixes	Tests	command-doc-edits	pull_request	4257111851	1h51m18s	Feb 23, 2023
completed	success	Convert manual conda_build_test_recipe clone into a fixture	Tests	conda_build_test_recipe-fixture	pull_request	4256739607	1h39m37s	Feb 23, 2023
completed	failure	Fixes the git lfs error by adding git lfs fetching (#4318)	Tests	main	push	4256230902	1h51m6s	Feb 23, 2023
completed	success	Use tomli or Python 3.11 tomllib	Tests	jinja2-tomllib	pull_request	4255855274	1h25m49s	Feb 23, 2023
completed	cancelled	Use tomli or Python 3.11 tomllib	Tests	jinja2-tomllib	pull_request	4255847561	1m51s	Feb 23, 2023
completed	success	Fixes the git lfs error by adding git lfs fetching	Tests	fix/git-lfs-error	pull_request	4255061142	35m44s	Feb 23, 2023
completed	success	Convert manual conda_build_test_recipe clone into a fixture	Tests	conda_build_test_recipe-fixture	pull_request	4248093157	45m38s	Feb 23, 2023
completed	success	Fixes the git lfs error by adding git lfs fetching	Tests	fix/git-lfs-error	pull_request	4247826982	1h22m44s	Feb 23, 2023
completed	success	Document build.force_use_keys and build.force_ignore_keys	Tests	doc-force-use-keys	pull_request	4247638945	25s	Feb 22, 2023
completed	success	Misc. documentation fixes	Tests	command-doc-edits	pull_request	4247591349	17m18s	Feb 23, 2023
completed	cancelled	Misc. documentation fixes	Tests	command-doc-edits	pull_request	4247561569	5m43s	Feb 22, 2023
completed	cancelled	Misc. documentation fixes	Tests	command-doc-edits	pull_request	4247540023	3m45s	Feb 22, 2023
completed	cancelled	Misc. documentation fixes	Tests	command-doc-edits	pull_request	4247504709	6m58s	Feb 22, 2023
completed	cancelled	Convert manual conda_build_test_recipe clone into a fixture	Tests	conda_build_test_recipe-fixture	pull_request	4247406525	1h56m48s	Feb 22, 2023
completed	cancelled	Convert manual conda_build_test_recipe clone into a fixture	Tests	conda_build_test_recipe-fixture	pull_request	4246888949	1h15m37s	Feb 22, 2023
completed	failure	Replace bundled conda-index with standalone conda-index package	Tests	conda-index	pull_request	4245877323	1h40m4s	Feb 22, 2023
completed	failure	Fixes the git lfs error by adding git lfs fetching	Tests	fix/git-lfs-error	pull_request	4243844370	1h43m50s	Feb 22, 2023
completed	cancelled	Fixes the git lfs error by adding git lfs fetching	Tests	fix/git-lfs-error	pull_request	4243843176	11s	Feb 22, 2023
completed	cancelled	Fixes the git lfs error by adding git lfs fetching	Tests	fix/git-lfs-error	pull_request	4243840824	47s	Feb 22, 2023
completed	failure	Replace bundled conda-index with standalone conda-index package	Tests	conda-index	pull_request	4243378009	1h36m3s	Feb 22, 2023
completed	failure	Fixes the git lfs error by adding git lfs fetching	Tests	fix/git-lfs-error	pull_request	4238697698	1h27m28s	Feb 22, 2023
completed	success	Convert manual conda_build_test_recipe clone into a fixture	Tests	conda_build_test_recipe-fixture	pull_request	4234624022	1h25m55s	Feb 22, 2023
completed	cancelled	Convert manual conda_build_test_recipe clone into a fixture	Tests	conda_build_test_recipe-fixture	pull_request	4233689385	1h51m11s	Feb 21, 2023
completed	failure	Convert manual conda_build_test_recipe clone into a fixture	Tests	conda_build_test_recipe-fixture	pull_request	4229696244	1h41m15s	Feb 21, 2023
completed	cancelled	Convert manual conda_build_test_recipe clone into a fixture	Tests	conda_build_test_recipe-fixture	pull_request	4229660498	9m2s	Feb 21, 2023
completed	cancelled	Convert manual conda_build_test_recipe clone into a fixture	Tests	conda_build_test_recipe-fixture	pull_request	4229630427	8m8s	Feb 21, 2023
completed	cancelled	Convert manual conda_build_test_recipe clone into a fixture	Tests	conda_build_test_recipe-fixture	pull_request	4229295834	1h5m22s	Feb 21, 2023
completed	failure	Convert manual conda_build_test_recipe clone into a fixture	Tests	conda_build_test_recipe-fixture	pull_request	4228322565	1h37m15s	Feb 21, 2023
completed	cancelled	Convert manual conda_build_test_recipe clone into a fixture	Tests	conda_build_test_recipe-fixture	pull_request	4228229461	19m45s	Feb 21, 2023
completed	cancelled	Convert manual conda_build_test_recipe clone into a fixture	Tests	conda_build_test_recipe-fixture	pull_request	4228211246	5m20s	Feb 21, 2023
completed	success	[pre-commit.ci] pre-commit autoupdate (#4772)	Tests	main	push	4225760687	3m20s	Feb 20, 2023
completed	success	[pre-commit.ci] pre-commit autoupdate	Tests	pre-commit-ci-update-config	pull_request	4225506350	30s	Feb 20, 2023
completed	success	Document build.force_use_keys and build.force_ignore_keys	Tests	doc-force-use-keys	pull_request	4203839745	25s	Feb 17, 2023
completed	failure	Add svn source credential support	Tests	svn_credential_patch-1	pull_request	4190380289	1h58m52s	Feb 20, 2023
completed	success	[pre-commit.ci] pre-commit autoupdate	Tests	pre-commit-ci-update-config	pull_request	4165756546	27s	Feb 13, 2023
completed	cancelled	Misc. documentation fixes	Tests	command-doc-edits	pull_request	4137709617	1h9m40s	Feb 22, 2023
completed	failure	Also rewrite long prefix paths in `output` scripts $PREFIX, etc.	Tests	rewrite_env-in-outputs	pull_request	4137311489	2h6m47s	Feb  9, 2023
completed	failure	Fixes the git lfs error by adding git lfs fetching	Tests	fix/git-lfs-error-xhochy	pull_request	4134564845	1h54m8s	Feb  9, 2023
completed	failure	Install downstream packages in correct `subdir` (#4763)	Tests	main	push	4132992557	2h45m6s	Feb  9, 2023
completed	failure	Re-enable coverage reporting to codecov	Tests	codecov	pull_request	4132982740	1h26m11s	Feb  9, 2023
completed	failure	Remove more unused test fixtures (#4769)	Tests	main	push	4126705336	43m40s	Feb  9, 2023
completed	success	Remove More Unused Test Fixtures	Tests	remove_unused_test_fixtures_pt2	pull_request	4118208961	1h32m32s	Feb  8, 2023
completed	success	Misc. documentation fixes	Tests	command-doc-edits	pull_request	4116667159	2h9m44s	Feb  7, 2023
completed	cancelled	Re-enable coverage reporting to codecov	Tests	codecov	pull_request	4113872789	50s	Feb  9, 2023
completed	cancelled	Re-enable coverage reporting to codecov	Tests	codecov	pull_request	4113858754	2m28s	Feb  7, 2023
completed	success	[pre-commit.ci] pre-commit autoupdate (#4768)	Tests	main	push	4111545709	25s	Feb  7, 2023
completed	success	[pre-commit.ci] pre-commit autoupdate	Tests	pre-commit-ci-update-config	pull_request	4111511217	24s	Feb  7, 2023
completed	failure	Drop dependency on Setuptools	Tests	use_packaging	pull_request	4107890783	1h34m30s	Feb  6, 2023
completed	success	Re-enable coverage reporting to codecov	Tests	codecov	pull_request	4105364014	1h41m55s	Feb  6, 2023
completed	cancelled	Re-enable coverage reporting to codecov	Tests	codecov	pull_request	4105351288	2m12s	Feb  6, 2023
completed	failure	use stdlib toml when available	Tests	jinja2-toml-parser	pull_request	4093705181	1h35m26s	Feb  4, 2023
completed	failure	use stdlib toml when available	Tests	jinja2-toml-parser	pull_request	4092704365	1h42m23s	Feb  4, 2023
completed	cancelled	use stdlib toml when available	Tests	jinja2-toml-parser	pull_request	4092329800	1h52m52s	Feb  4, 2023
completed	cancelled	use stdlib toml when available	Tests	jinja2-toml-parser	pull_request	4092307163	9m17s	Feb  4, 2023
